name,phone,cpf,email,tags
Pedro Almeida,+5584932046102,67079886627,lead55@example.com,"cleaning, braces"
Julia Lopes,+5516940380367,63862859053,,
Nicolas Souza,+5512956127966,73009434898,lead57@example.com,
Pedro Nascimento,+5571936979179,41694991075,,
Rafaela Rocha,+5573988841223,50026527782,lead59@example.com,"whitening, braces, vip"
Gabriel Carvalho,+5513979371627,13133270699,lead60@example.com,"cleaning, braces, urgent"
Gabriel Oliveira,+5511924426646,06737123899,lead61@example.com,"whitening, cleaning, vip"
Vitor Santos,+5562967749435,95602200550,lead62@example.com,
Ana Nascimento,+5544914715275,54942870259,lead63@example.com,"urgent, new-patient, braces"
Nicolas Gomes,+5586995797446,19764835228,lead64@example.com,"whitening, cleaning"
Ana Barbosa,+5517971360403,06070965868,lead65@example.com,"ortho, urgent"
Bruno Ribeiro,+5586927069367,,lead66@example.com,vip
Fernanda Martins,+5579936919045,91700723375,lead67@example.com,
Vitor Barbosa,+5567958371742,43173503007,,
Fernanda Rocha,+5535917388343,,lead69@example.com,"ortho, checkup"
Bruno Ferreira,+5543962675557,68238890047,lead70@example.com,vip
Maria Silva,+5532946005452,33207557570,lead71@example.com,
Samuel Lima,+5565919097528,68756431708,lead72@example.com,"whitening, returning"
Yasmin Ribeiro,+5566929503765,16671965102,,
Olivia Silva,+5587941676893,39261873529,lead74@example.com,"vip, cleaning, new-patient"
Diana Araújo,+5522945909741,27173760119,lead75@example.com,"new-patient, braces"
Bruno Araújo,+5599960684862,65228401628,lead76@example.com,"new-patient, urgent"
Yasmin Costa,+5592918460709,,lead77@example.com,implant
Yasmin Oliveira,+5593961256535,,lead78@example.com,
Diana Lima,+5584925180211,,lead79@example.com,returning
Julia Ferreira,+5571916481730,,,"cleaning, ortho, urgent"
Julia Martins,+5583936851755,94977026551,,
Julia Rocha,+5554969121108,68345917291,,
Samuel Costa,+5584991052173,06416482940,lead83@example.com,whitening
Helena Souza,+5534941813491,13454694620,lead84@example.com,"urgent, returning"
Olivia Lima,+5511969206708,,lead85@example.com,implant
Tatiana Souza,+5511982301063,16714663307,lead86@example.com,"implant, cleaning, vip"
Lucas Moreira,+5546974823646,27042549740,lead87@example.com,
Olivia Gomes,+5521910799200,36888411826,lead88@example.com,cleaning
Carlos Souza,+5521919114990,,lead89@example.com,urgent
Ana Martins,+5586940022280,,lead90@example.com,
Olivia Moreira,+5571920557561,,lead91@example.com,"urgent, returning, vip"
Gabriel Lopes,+5514984125308,,lead92@example.com,
Ana Rocha,+5579933601601,61361669926,lead93@example.com,
Eduardo Santos,+5566987218920,00973456795,lead94@example.com,
Eduardo Rodrigues,+5563955502075,95599904970,lead95@example.com,
Lucas Carvalho,+5528959253438,77151555512,lead96@example.com,ortho
Tatiana Barbosa,+5534966094947,33230771214,,"whitening, braces"
Maria Almeida,+5583931587945,12323686526,lead98@example.com,
Fernanda Souza,+5512929431823,10058464646,lead99@example.com,"implant, urgent"
Tatiana Rodrigues,+5579933499117,,lead100@example.com,"implant, ortho"
Bruno Lima,+5593930561907,61028854579,lead101@example.com,"vip, ortho, new-patient"
Tatiana Souza,+5547974690466,,lead102@example.com,"whitening, new-patient"
Ana Santos,+5513943942797,16609211981,,
Pedro Pereira,+5573955207977,94013465698,,braces
Vitor Silva,+5554944794586,,lead105@example.com,
Igor Almeida,+5547974882308,19478111264,lead106@example.com,returning
Fernanda Costa,+5514972585129,64153071773,lead107@example.com,vip
Gabriel Barbosa,+5531975007978,75510154853,lead108@example.com,
Bruno Rodrigues,+5522943842955,12895944571,lead109@example.com,
Pedro Martins,+5524985875268,59724149617,lead110@example.com,"returning, vip, whitening"
Igor Araújo,+5533917164477,78132075056,,"implant, cleaning"
Ana Barbosa,+5531925792485,12691552373,lead112@example.com,urgent
Fernanda Barbosa,+5542919120054,,,implant
Gabriel Oliveira,+5574980003028,57337691904,,
Vitor Santos,+5574945426279,21471930548,lead115@example.com,returning
Maria Moreira,+5595963758159,,,checkup
Bruno Gomes,+5519943340061,16354791937,lead117@example.com,
Nicolas Lima,+5599933523891,04997795682,,"urgent, ortho, braces"
Rafaela Silva,+5553933170213,88586406406,lead119@example.com,
Fernanda Araújo,+5577965731665,30093235739,lead120@example.com,"ortho, vip"
Pedro Oliveira,+5571956415293,00319386988,,"ortho, implant, whitening"
Maria Costa,+5554967631173,34312244820,lead122@example.com,
Ana Oliveira,+5518926230486,01770035451,lead123@example.com,vip
Bruno Souza,+5592940333137,51982066601,lead124@example.com,"checkup, urgent"
Lucas Rodrigues,+5555950997045,36866511739,lead125@example.com,"cleaning, whitening"
Gabriel Lopes,+5554997378136,,lead126@example.com,braces
Helena Rocha,+5528930650047,08548863382,lead127@example.com,"checkup, vip"
Ana Almeida,+5573941575754,91532399030,lead128@example.com,"ortho, implant"
Julia Ferreira,+5531977404963,65198685585,lead129@example.com,"cleaning, returning, new-patient"
Julia Ferreira,+5598997446775,,,
Helena Silva,+5596976716478,09839075012,lead131@example.com,"whitening, vip"
Eduardo Araújo,+5517944979463,90197910440,lead132@example.com,"new-patient, whitening, urgent"
Olivia Carvalho,+5574917965653,64029458203,lead133@example.com,
Maria Lima,+5561919295876,,,urgent
Ana Pereira,+5511926392881,23841077986,lead135@example.com,"braces, ortho"
Helena Rocha,+5596941315758,,,"ortho, implant"
Samuel Moreira,+5543941941591,,,"braces, vip"
Yasmin Carvalho,+5546944586412,95958516043,lead138@example.com,
Helena Silva,+5542981770665,87426998274,lead139@example.com,"ortho, urgent, whitening"
Nicolas Oliveira,+5531919796642,95467188828,lead140@example.com,
Vitor Barbosa,+5598998346900,,lead141@example.com,implant
Helena Moreira,+5515934577671,56958278259,lead142@example.com,"whitening, new-patient, cleaning"
Ana Moreira,+5521911084114,,lead143@example.com,"whitening, cleaning"
Maria Nascimento,+5597950565071,14675954200,lead144@example.com,
Gabriel Rodrigues,+5568975896321,,lead145@example.com,implant
Eduardo Carvalho,+5592917371794,54478338760,lead146@example.com,
Igor Lima,+5512948586734,85398686607,lead147@example.com,
Lucas Oliveira,+5561911288904,,lead148@example.com,
Igor Araújo,+5555910348113,13006577400,,"vip, ortho"
Rafaela Costa,+5554959432484,,lead150@example.com,new-patient
Eduardo Rocha,+5512966686210,,lead151@example.com,
Julia Moreira,+5537944914689,65600520603,,
Tatiana Almeida,+5531913334208,,,vip
Julia Silva,+5598928136527,56572572439,lead154@example.com,"returning, whitening, implant"
Fernanda Ferreira,+5592947303214,,,
Fernanda Rocha,+5581972547989,03299890220,lead156@example.com,"implant, checkup"
Igor Carvalho,+5574950200550,94296873369,lead157@example.com,"ortho, vip, urgent"
Vitor Souza,+5533949638651,,lead158@example.com,"new-patient, vip, braces"
Gabriel Santos,+5544970205180,23582159965,lead159@example.com,"urgent, cleaning"
Helena Almeida,+5554981056534,80640552617,lead160@example.com,ortho
Ana Rocha,+5593911506992,,lead161@example.com,"whitening, urgent"
Carlos Ribeiro,+5561957779086,58430336940,lead162@example.com,urgent
Samuel Nascimento,+5592925602942,,,
Diana Nascimento,+5511973892328,,lead164@example.com,returning
Rafaela Lopes,+5574976574158,65063559727,lead165@example.com,implant
Yasmin Lima,+5544930915217,27504304700,lead166@example.com,"ortho, urgent"
Samuel Souza,+5579999917242,95764021073,,
Eduardo Moreira,+5524987129089,30493910301,lead168@example.com,"ortho, urgent, whitening"
Eduardo Silva,+5533974720281,64386471103,lead169@example.com,
Ana Moreira,+5524963225013,21380244315,lead170@example.com,ortho
Maria Gomes,+5579976604847,,lead171@example.com,urgent
Igor Carvalho,+5527965100288,,lead172@example.com,cleaning
Vitor Santos,+5589977996751,15304844998,lead173@example.com,"braces, cleaning, returning"
Igor Gomes,+5513957639326,17493587272,lead174@example.com,
Igor Silva,+5554983941776,41350201006,lead175@example.com,"cleaning, implant, vip"
Igor Ferreira,+5554962234472,34664197438,lead176@example.com,"braces, vip"
Samuel Martins,+5511975003041,83353807322,lead177@example.com,"urgent, ortho, whitening"
Eduardo Ferreira,+5591928290743,24711624872,lead178@example.com,"vip, checkup, new-patient"
Yasmin Gomes,+5511948372159,58992238800,lead179@example.com,"cleaning, returning"
Olivia Nascimento,+5595962612774,07186691692,,cleaning
Samuel Souza,+5597959728039,,lead181@example.com,implant
Diana Barbosa,+5538950750136,,,"braces, whitening"
Diana Costa,+5522976115000,14276660750,lead183@example.com,"implant, whitening, new-patient"
Lucas Santos,+5514974693797,13838046137,,
Eduardo Moreira,+5512956814135,97825963105,lead185@example.com,"checkup, urgent, implant"
Ana Nascimento,+5599954547753,,,"urgent, cleaning, braces"
Helena Nascimento,+5541951896581,01043901159,lead187@example.com,"new-patient, whitening"
Fernanda Ferreira,+5519954070021,33634277602,lead188@example.com,ortho
Julia Araújo,+5522963521088,05359539410,lead189@example.com,
Fernanda Santos,+5586916086444,94066757731,lead190@example.com,whitening
Tatiana Lopes,+5574963684484,47494016252,lead191@example.com,vip
Olivia Carvalho,+5514993632855,,lead192@example.com,"returning, whitening, ortho"
Olivia Rodrigues,+5588934243567,55433452590,lead193@example.com,"ortho, checkup"
Rafaela Martins,+5548959752551,57354015997,lead194@example.com,
Carlos Souza,+5533998142735,92692378504,lead195@example.com,"urgent, checkup, implant"
Tatiana Rodrigues,+5518977880796,,lead196@example.com,ortho
Tatiana Pereira,+5524926399176,,lead197@example.com,"implant, urgent, new-patient"
Diana Ribeiro,+5566967555593,77701302719,lead198@example.com,vip
Tatiana Lima,+5546918050717,06520507199,lead199@example.com,returning
Igor Araújo,+5593980838612,85651348735,lead200@example.com,ortho
Tatiana Rocha,+5562981836274,73371473333,lead201@example.com,"urgent, new-patient"
Helena Pereira,+5546952449183,13047468958,lead202@example.com,implant
Olivia Lopes,+5569933429166,92885221747,lead203@example.com,vip
Gabriel Carvalho,+5569960865117,23013000139,,"returning, cleaning, new-patient"
Bruno Santos,+5582936455262,26386360532,lead205@example.com,"new-patient, whitening"
Gabriel Ribeiro,+5587992783281,35552160231,lead206@example.com,new-patient
Nicolas Gomes,+5593995034205,,lead207@example.com,
Carlos Rocha,+5568993516960,,lead208@example.com,"returning, braces"
Gabriel Santos,+5538967575254,72608621570,lead209@example.com,"cleaning, braces, implant"
Julia Moreira,+5568953508343,,lead210@example.com,
Samuel Souza,+5593921320982,05908916773,lead211@example.com,
Nicolas Santos,+5563978139875,27282989559,lead212@example.com,"cleaning, vip, braces"
Ana Almeida,+5574944606883,89572837575,,braces
Maria Santos,+5568955942549,20243152671,lead214@example.com,
Olivia Rocha,+5598911700370,,lead215@example.com,
Diana Silva,+5533971232519,48929953980,lead216@example.com,
Eduardo Carvalho,+5569973180273,67758904602,,"new-patient, implant"
Nicolas Ribeiro,+5574942712061,80064098206,,checkup
Rafaela Ribeiro,+5566974251694,,lead219@example.com,braces
Diana Moreira,+5532943478829,79137019430,,"urgent, vip, ortho"
Bruno Araújo,+5598992697333,21949197085,lead221@example.com,"new-patient, cleaning"
Ana Moreira,+5593910976517,29852107631,lead222@example.com,vip
Diana Oliveira,+5514922261436,41025112458,lead223@example.com,"checkup, whitening"
Lucas Souza,+5593986545274,62749297974,lead224@example.com,"checkup, cleaning, new-patient"
Diana Gomes,+5566922095481,,lead225@example.com,implant
Lucas Rodrigues,+5562918958671,20889125252,lead226@example.com,"returning, checkup"
Bruno Rocha,+5551987563565,62589542437,lead227@example.com,"checkup, new-patient, whitening"
Samuel Rodrigues,+5533970795309,59554978030,lead228@example.com,"urgent, checkup"
Vitor Silva,+5599990807002,06657746482,lead229@example.com,"braces, implant, urgent"
Igor Moreira,+5564975978274,,lead230@example.com,"braces, returning, ortho"
Olivia Lopes,+5515991728616,,lead231@example.com,"vip, braces"
Nicolas Costa,+5579921719763,29800307249,lead232@example.com,"braces, vip, implant"
Fernanda Barbosa,+5528962844202,73245958552,lead233@example.com,"vip, urgent, returning"
Nicolas Silva,+5563912391443,00241125189,lead234@example.com,"ortho, checkup, implant"
Fernanda Ribeiro,+5595995477900,61966707517,lead235@example.com,
Maria Moreira,+5592914437801,,lead236@example.com,"braces, whitening, vip"
Olivia Gomes,+5535957995324,27128726063,lead237@example.com,"braces, implant"
Igor Almeida,+5517928615249,66792698300,lead238@example.com,
Bruno Rodrigues,+5554933758324,00699511950,,cleaning
Tatiana Lima,+5524934154582,68075174240,,new-patient
Helena Almeida,+5544935041280,74888671222,lead241@example.com,checkup
Carlos Lima,+5512982621391,,lead242@example.com,"vip, urgent"
Carlos Ribeiro,+5511975681712,,lead243@example.com,
Olivia Martins,+5533917229717,,lead244@example.com,braces
Eduardo Ribeiro,+5541994796498,97200559288,lead245@example.com,cleaning
Julia Lopes,+5544918273195,42132172137,,
Helena Lopes,+5579932017958,,lead247@example.com,checkup
Fernanda Araújo,+5597967255255,72445860270,lead248@example.com,returning
Lucas Santos,+5534985624790,,lead249@example.com,vip
Carlos Pereira,+5583919810114,21572520701,lead250@example.com,
Eduardo Silva,+5543979489511,80447586661,lead251@example.com,"checkup, vip"
Rafaela Pereira,+5521947607490,24415734979,,
Lucas Rocha,+5545982147777,16519201251,lead253@example.com,"cleaning, returning, whitening"
Samuel Santos,+5554960507485,04165748072,lead254@example.com,braces
Diana Rodrigues,+5597926654869,46429339564,lead255@example.com,"ortho, whitening, implant"
Maria Martins,+5533911061711,51330109406,lead256@example.com,braces
Helena Nascimento,+5597914433206,75743532125,lead257@example.com,"whitening, vip, urgent"
Vitor Santos,+5593918815582,,lead258@example.com,
Nicolas Moreira,+5586966187831,,lead259@example.com,
Fernanda Rodrigues,+5545925279165,,lead260@example.com,whitening
Igor Gomes,+5551957975086,89197791393,lead261@example.com,"ortho, implant"
Maria Martins,+5513941449603,04797702630,lead262@example.com,"checkup, urgent, vip"
Vitor Almeida,+5587910196278,,lead263@example.com,"ortho, braces, new-patient"
Gabriel Oliveira,+5546975889227,,lead264@example.com,"whitening, ortho, cleaning"
Pedro Ferreira,+5533932992189,86710642801,lead265@example.com,"checkup, returning, whitening"
Tatiana Souza,+5587917053135,15063520146,lead266@example.com,
Diana Carvalho,+5527916624095,,lead267@example.com,
Samuel Martins,+5566915040374,45849079009,lead268@example.com,urgent
Rafaela Souza,+5588989695647,19306866500,lead269@example.com,"new-patient, whitening"
Diana Gomes,+5568996387831,,,vip
Pedro Ferreira,+5561999728256,,lead271@example.com,"checkup, braces, cleaning"
Tatiana Araújo,+5546960648743,46725731848,lead272@example.com,"checkup, implant, new-patient"
Pedro Carvalho,+5534980263297,86349394305,lead273@example.com,"new-patient, checkup, implant"
Julia Araújo,+5554928908828,,lead274@example.com,
Yasmin Nascimento,+5513939664255,57838224004,lead275@example.com,ortho
Samuel Almeida,+5544934459443,89059899261,lead276@example.com,"returning, ortho, braces"
Yasmin Lima,+5544986871062,64973073709,lead277@example.com,"cleaning, implant"
Carlos Santos,+5528957591662,,lead278@example.com,implant
Olivia Barbosa,+5586915077103,87687769503,lead279@example.com,whitening
Tatiana Oliveira,+5595960977703,38852459146,lead280@example.com,"vip, cleaning, ortho"
Bruno Lopes,+5584916713249,,lead281@example.com,cleaning
Helena Oliveira,+5514993067265,52044451107,lead282@example.com,"checkup, ortho, vip"
Fernanda Barbosa,+5565979512350,,lead283@example.com,braces
Maria Rocha,+5593943814518,,lead284@example.com,"checkup, vip, new-patient"
Diana Ferreira,+5517959875998,55961840204,,"implant, whitening, returning"
Bruno Almeida,+5592962539481,22255227312,lead286@example.com,"cleaning, implant"
Fernanda Gomes,+5577956545697,58674888020,lead287@example.com,"whitening, checkup, vip"
Helena Santos,+5542950691210,00524994218,lead288@example.com,implant
Diana Ribeiro,+5532998861131,50454399286,lead289@example.com,"urgent, checkup, whitening"
Vitor Nascimento,+5538997830990,,,
Eduardo Gomes,+5599943143537,,,"returning, urgent"
Eduardo Carvalho,+5582933200666,50711859035,,
Bruno Oliveira,+5519927399920,61928701957,lead293@example.com,
Eduardo Rodrigues,+5533980203522,,lead294@example.com,"ortho, checkup, implant"
Maria Rocha,+5528922415365,48395992700,,implant
Julia Ribeiro,+5586985224272,,lead296@example.com,ortho
Eduardo Almeida,+5564978811784,,lead297@example.com,
Lucas Araújo,+5531951486167,84385865540,lead298@example.com,"returning, new-patient"
Rafaela Ribeiro,+5518997753048,93011030448,,"vip, whitening, urgent"
Gabriel Souza,+5551955865202,,lead300@example.com,braces
Samuel Nascimento,+5577938741026,74083131683,,urgent
Pedro Costa,+5564948099914,16410043201,lead302@example.com,"implant, checkup, whitening"
Maria Oliveira,+5545951276539,50757742610,lead303@example.com,whitening
Yasmin Silva,+5518924619870,11210678080,lead304@example.com,
Igor Pereira,+5587987831997,40776294890,lead305@example.com,urgent
Yasmin Carvalho,+5599922499218,52514318050,lead306@example.com,"braces, implant"
Maria Gomes,+5542916263723,15966030383,lead307@example.com,ortho
Bruno Araújo,+5575915619616,00589948318,lead308@example.com,checkup
Vitor Santos,+5585994180450,17607126201,,
Gabriel Souza,+5569973453644,27666252161,lead310@example.com,
Igor Ribeiro,+5533934010399,19034061370,lead311@example.com,
Maria Ferreira,+5554989208210,34339514977,lead312@example.com,
Bruno Nascimento,+5547944816984,,lead313@example.com,"cleaning, urgent, braces"
Diana Rocha,+5598935005674,28606061140,,implant
Eduardo Rocha,+5517944848832,77970611222,lead315@example.com,vip
Ana Pereira,+5566952301526,93426099888,lead316@example.com,"braces, returning, checkup"
Samuel Gomes,+5513975540726,,lead317@example.com,
Igor Gomes,+5511950998526,92148172786,,vip
Carlos Gomes,+5575991026127,71162168390,lead319@example.com,"implant, braces, cleaning"
Maria Barbosa,+5589953726015,79348582216,lead320@example.com,
Julia Moreira,+5513917502637,,,
Samuel Rocha,+5542991411431,77075125532,lead322@example.com,"implant, new-patient"
Vitor Carvalho,+5581985406203,39153286936,,cleaning
Igor Nascimento,+5597998074083,,lead324@example.com,"ortho, braces, cleaning"
Maria Lima,+5584960827527,,lead325@example.com,whitening
Nicolas Pereira,+5593992667517,69140438090,lead326@example.com,
Carlos Costa,+5579976224093,,,"implant, returning"
Nicolas Rocha,+5568976480432,45864965251,lead328@example.com,"implant, vip"
Yasmin Carvalho,+5587950112524,,,vip
Yasmin Nascimento,+5532926998180,,,"new-patient, urgent, implant"
Pedro Ribeiro,+5587935773523,,lead331@example.com,"implant, new-patient"
Ana Oliveira,+5598962148952,31579813070,lead332@example.com,
Ana Oliveira,+5599913239741,11069327220,lead333@example.com,"vip, new-patient, braces"
Yasmin Barbosa,+5533960360003,,lead334@example.com,vip
Fernanda Silva,+5573965874332,69057996880,lead335@example.com,braces
Julia Lima,+5519944729606,29985921399,lead336@example.com,"urgent, implant"
Julia Araújo,+5583972672030,,lead337@example.com,"new-patient, returning"
Gabriel Ferreira,+5574912072002,59780693360,lead338@example.com,"checkup, cleaning, ortho"
Maria Carvalho,+5597934286721,,lead339@example.com,"urgent, checkup"
Tatiana Carvalho,+5574961544128,57163712804,lead340@example.com,ortho
Olivia Souza,+5527956604134,,lead341@example.com,checkup
Carlos Araújo,+5537932398560,33977183338,lead342@example.com,urgent
Gabriel Araújo,+5533954746000,75419659018,lead343@example.com,"urgent, whitening"
Gabriel Araújo,+5543955361996,57491973280,lead344@example.com,"urgent, vip, checkup"
Igor Martins,+5554984046610,55236011019,lead345@example.com,"cleaning, checkup"
Bruno Ribeiro,+5575985287146,,lead346@example.com,"braces, ortho, vip"
Diana Costa,+5565964453416,,lead347@example.com,
Fernanda Costa,+5585989774795,,lead348@example.com,"checkup, returning, cleaning"
Carlos Nascimento,+5582915904211,14411158892,lead349@example.com,
Vitor Barbosa,+5581961404378,58602977506,lead350@example.com,urgent
Carlos Gomes,+5598916460352,30812673409,,"whitening, vip, checkup"
Rafaela Carvalho,+5521983453242,03183114968,lead352@example.com,ortho
Samuel Gomes,+5547972662666,03622570865,lead353@example.com,vip
Eduardo Costa,+5561988629003,,lead354@example.com,"returning, braces, checkup"
Carlos Ferreira,+5566975153331,50142841676,lead355@example.com,"whitening, cleaning"
Carlos Silva,+5537917392527,42490200968,lead356@example.com,
Tatiana Lima,+5563976522633,,,"cleaning, implant"
Olivia Barbosa,+5583945177753,77170724677,lead358@example.com,
Nicolas Moreira,+5513920220633,37659662660,lead359@example.com,"urgent, ortho, checkup"
Nicolas Araújo,+5534943843370,93518454609,lead360@example.com,new-patient
Carlos Rocha,+5548949092212,90921622643,,"checkup, cleaning, returning"
Igor Ferreira,+5549937113825,72664425323,lead362@example.com,
Olivia Gomes,+5565925547039,82411195770,lead363@example.com,"implant, whitening"
Samuel Martins,+5573955422301,18451326455,lead364@example.com,
Lucas Silva,+5534918150849,37646061778,lead365@example.com,"vip, checkup"
Pedro Almeida,+5547918605557,,lead366@example.com,returning
Olivia Almeida,+5543960785856,00025233610,,braces
Eduardo Lopes,+5565977891257,91306388449,lead368@example.com,
Maria Nascimento,+5554942314499,47018680603,lead369@example.com,"braces, returning, ortho"
Rafaela Almeida,+5579912121778,,lead370@example.com,whitening
Carlos Costa,+5514965885354,17012976128,lead371@example.com,
Eduardo Souza,+5528969616744,56905046027,lead372@example.com,
Tatiana Gomes,+5534977163069,46965359404,lead373@example.com,
Helena Souza,+5534926864811,,lead374@example.com,checkup
Nicolas Silva,+5533976978628,27593112012,,urgent
Julia Lima,+5575990626195,48077427103,lead376@example.com,
Julia Rocha,+5548917543052,18033028106,lead377@example.com,ortho
Helena Oliveira,+5537911003900,75324052817,lead378@example.com,"whitening, new-patient, vip"
Julia Lopes,+5513952207726,15085859979,lead379@example.com,
Lucas Nascimento,+5546997641141,56395830295,lead380@example.com,"new-patient, implant"
Julia Oliveira,+5598952616210,,lead381@example.com,
Vitor Rodrigues,+5589963329588,37156842404,lead382@example.com,"cleaning, braces"
Ana Martins,+5597943563999,77536103506,lead383@example.com,implant
Helena Rodrigues,+5516937515867,,lead384@example.com,
Helena Rocha,+5551940901003,73103511930,lead385@example.com,vip
Yasmin Lima,+5583928758750,44809776514,lead386@example.com,"braces, returning, whitening"
Helena Rodrigues,+5584972881183,01588258610,lead387@example.com,"urgent, cleaning, checkup"
Julia Ferreira,+5566924592135,43337065309,lead388@example.com,"new-patient, returning, implant"
Samuel Almeida,+5592978328472,33853396852,lead389@example.com,vip
Gabriel Ferreira,+5561964407130,08464760701,lead390@example.com,"implant, urgent, checkup"
Samuel Oliveira,+5594965186818,,lead391@example.com,
Lucas Santos,+5594963624646,28617358998,lead392@example.com,
Lucas Moreira,+5535993526820,22135111872,lead393@example.com,"cleaning, returning, ortho"
Julia Lopes,+5514956165151,22614294012,lead394@example.com,
Diana Nascimento,+5595919188820,55843442497,lead395@example.com,
Yasmin Oliveira,+5524943486194,34575660892,lead396@example.com,"whitening, implant"
Ana Oliveira,+5561982104383,54828376704,,
Carlos Oliveira,+5554910580370,,,whitening
Olivia Barbosa,+5513965350018,74655172908,,"returning, vip, new-patient"
Olivia Barbosa,+5541993577232,48969652990,lead400@example.com,implant
Maria Nascimento,+5596951791523,23364972125,lead401@example.com,new-patient
Olivia Souza,+5571968352064,71185195610,lead402@example.com,"braces, cleaning"
Julia Rodrigues,+5555950468825,81172063311,,"whitening, ortho, checkup"
Tatiana Souza,+5561980702324,,,"vip, new-patient, checkup"
Eduardo Barbosa,+5564939984533,35891104814,lead405@example.com,implant
Fernanda Gomes,+5574992046870,45832345541,lead406@example.com,"returning, new-patient, whitening"
Eduardo Oliveira,+5584949896862,52199662276,,"vip, ortho, urgent"
Pedro Moreira,+5586937996867,34357133483,lead408@example.com,cleaning
Tatiana Costa,+5584971863774,94448357740,lead409@example.com,urgent
Fernanda Nascimento,+5567928544570,56693836801,lead410@example.com,
Maria Barbosa,+5527924361391,34423647443,,"cleaning, new-patient, braces"
Tatiana Rocha,+5571951034436,61284995704,lead412@example.com,
Rafaela Almeida,+5513922473725,22806005108,lead413@example.com,"ortho, braces"
Lucas Lima,+5586954758446,20407886460,,
Pedro Carvalho,+5573911721190,16954933546,lead415@example.com,implant
Julia Lopes,+5548919919246,60513082450,lead416@example.com,
Vitor Pereira,+5585944232446,20714737364,,vip
Julia Nascimento,+5563980646882,04763025104,,
Tatiana Ribeiro,+5535940082913,25763249755,lead419@example.com,"implant, urgent, ortho"
Bruno Ferreira,+5516918595929,21323873708,lead420@example.com,"returning, whitening, new-patient"
